#Seq	Cat	Imp	Imp_val	m_sum_neg	c_neg	m_sum_all	m_sum_nzr	Mag	c_nzr	c_all	m_max	s_min	m_sdv_neg	s_sdv_neg	m_avg_neg	s_avg_neg	s_sdv_nzr	m_sdv_all	s_sdv_all	s_avg_nzr	m_avg_nzr	s_avg_all	Sc	m_avg_all	m_sum_pos	c_pos	m_min	s_max	m_sdv_pos	s_sdv_pos	m_avg_pos	s_avg_pos	m_sdv_nzr
5025	C003596	003	0	0.20	2	1.10	1.10	1.3	6	6	0.60	-0.10	0.10	0.10	0.10	-0.10	0.26	0.26	0.26	0.12	0.18	0.12	0.1	0.18	0.90	4	0.10	0.60	0.31	0.31	0.23	0.23	0.52
5026	C003597	003	0	1.90	4	2.00	2.00	2.2	5	5	0.90	-0.90	0.55	0.55	0.47	-0.47	0.50	0.50	0.50	-0.36	0.40	-0.36	-0.3	0.40	0.10	1	0.10	0.10	0.10	0.10	0.10	0.10	0.59
5027	C003598	003	0	0.20	1	0.70	0.70	0.7	2	2	0.50	-0.20	0.20	0.20	0.20	-0.20	0.38	0.38	0.38	0.15	0.35	0.15	0.1	0.35	0.50	1	0.20	0.50	0.50	0.50	0.50	0.50	0.66
5028	C003599	003	0	0.00	0	0.00	0.00	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5029	C003600	003	0	0.50	1	0.50	0.50	0.5	1	1	0.50	-0.50	0.50	0.50	0.50	-0.50	0.50	0.50	0.50	-0.50	0.50	-0.50	-0.5	0.50	0.00	0	0.50	-0.50	0.00	0.00	0.00	0.00	0.50
5030	C003601	003	0	0.50	1	0.90	0.90	0.9	2	2	0.50	-0.50	0.50	0.50	0.50	-0.50	0.45	0.45	0.45	-0.05	0.45	-0.05	0	0.45	0.40	1	0.40	0.40	0.40	0.40	0.40	0.40	0.67
5031	C003602	003	0	1.90	3	2.50	2.50	2.6	5	6	0.80	-0.80	0.66	0.66	0.63	-0.63	0.55	0.50	0.50	-0.26	0.50	-0.22	-0.2	0.42	0.60	2	0.00	0.40	0.32	0.32	0.30	0.30	0.66
5032	C003603	003	0	0.00	0	0.50	0.50	0.5	1	1	0.50	0.50	0.00	0.00	0.00	0.00	0.50	0.50	0.50	0.50	0.50	0.50	0.5	0.50	0.50	1	0.50	0.50	0.50	0.50	0.50	0.50	0.95
5033	C003604	003	0	3.50	6	3.60	3.60	4	7	8	0.90	-0.90	0.63	0.63	0.58	-0.58	0.59	0.55	0.55	-0.49	0.51	-0.42	-0.4	0.45	0.10	1	0.00	0.10	0.10	0.10	0.10	0.10	0.69
5034	C003605	003	0	0.30	1	0.30	0.30	0.3	1	1	0.30	-0.30	0.30	0.30	0.30	-0.30	0.30	0.30	0.30	-0.30	0.30	-0.30	-0.3	0.30	0.00	0	0.30	-0.30	0.00	0.00	0.00	0.00	0.89
5035	C003606	003	0	0.00	0	0.00	0.00	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5036	C003607	003	0	0.90	1	0.90	0.90	0.9	1	2	0.90	-0.90	0.90	0.90	0.90	-0.90	0.90	0.64	0.64	-0.90	0.90	-0.45	-0.4	0.45	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.90
5037	C003608	003	0	1.40	2	1.40	1.40	1.5	2	3	0.70	-0.70	0.70	0.70	0.70	-0.70	0.70	0.57	0.57	-0.70	0.70	-0.47	-0.4	0.47	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.97
5038	C003609	003	0	0.00	0	0.70	0.70	0.7	1	1	0.70	0.70	0.00	0.00	0.00	0.00	0.70	0.70	0.70	0.70	0.70	0.70	0.7	0.70	0.70	1	0.70	0.70	0.70	0.70	0.70	0.70	1.21
5039	C003610	003	0	0.00	0	0.50	0.50	0.5	2	2	0.40	0.10	0.00	0.00	0.00	0.00	0.29	0.29	0.29	0.25	0.25	0.25	0.2	0.25	0.50	2	0.10	0.40	0.29	0.29	0.25	0.25	0.83
5040	C003611	003	0	0.10	1	0.10	0.10	0.1	1	1	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	-0.10	-0.1	0.10	0.00	0	0.10	-0.10	0.00	0.00	0.00	0.00	0.92
5041	C003612	003	0	0.40	1	0.40	0.40	0.4	1	2	0.40	-0.40	0.40	0.40	0.40	-0.40	0.40	0.28	0.28	-0.40	0.40	-0.20	-0.2	0.20	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1.04
5042	C003613	003	0	0.00	0	0.00	0.00	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5043	C003614	003	0	0.80	2	1.00	1.00	1.1	3	3	0.70	-0.70	0.50	0.50	0.40	-0.40	0.42	0.42	0.42	-0.20	0.33	-0.20	-0.1	0.33	0.20	1	0.10	0.20	0.20	0.20	0.20	0.20	0.42
5044	C003615	003	0	0.20	1	0.20	0.20	0.2	1	1	0.20	-0.20	0.20	0.20	0.20	-0.20	0.20	0.20	0.20	-0.20	0.20	-0.20	-0.2	0.20	0.00	0	0.20	-0.20	0.00	0.00	0.00	0.00	0.68
5045	C003616	003	0	0.10	1	0.10	0.10	0.1	1	1	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	-0.10	-0.1	0.10	0.00	0	0.10	-0.10	0.00	0.00	0.00	0.00	0.83
5046	C003617	003	0	0.10	1	0.10	0.10	0.1	1	1	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	-0.10	-0.1	0.10	0.00	0	0.10	-0.10	0.00	0.00	0.00	0.00	0.92
5047	C003618	003	0	0.90	2	0.90	0.90	1	2	2	0.70	-0.70	0.51	0.51	0.45	-0.45	0.51	0.51	0.51	-0.45	0.45	-0.45	-0.5	0.45	0.00	0	0.20	-0.20	0.00	0.00	0.00	0.00	0.85
5048	C003619	003	0	0.10	1	0.10	0.10	0.1	1	1	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	-0.10	-0.1	0.10	0.00	0	0.10	-0.10	0.00	0.00	0.00	0.00	0.93
5049	C003620	003	0	1.10	2	1.80	1.80	2	5	6	0.60	-0.60	0.55	0.55	0.55	-0.55	0.39	0.36	0.36	-0.08	0.36	-0.07	0	0.30	0.70	3	0.00	0.30	0.24	0.24	0.23	0.23	0.58
5050	C003621	003	0	0.90	1	0.90	0.90	0.9	1	1	0.90	-0.90	0.90	0.90	0.90	-0.90	0.90	0.90	0.90	-0.90	0.90	-0.90	-0.9	0.90	0.00	0	0.90	-0.90	0.00	0.00	0.00	0.00	1.18
5051	C003622	003	0	0.00	0	0.20	0.20	0.2	1	1	0.20	0.20	0.00	0.00	0.00	0.00	0.20	0.20	0.20	0.20	0.20	0.20	0.2	0.20	0.20	1	0.20	0.20	0.20	0.20	0.20	0.20	1.10
5052	C003623	003	0	0.00	0	0.10	0.10	0.1	1	1	0.10	0.10	0.00	0.00	0.00	0.00	0.10	0.10	0.10	0.10	0.10	0.10	0.1	0.10	0.10	1	0.10	0.10	0.10	0.10	0.10	0.10	1.06
5053	C003624	003	0	1.60	3	1.60	1.60	1.7	3	3	0.70	-0.70	0.55	0.55	0.53	-0.53	0.55	0.55	0.55	-0.53	0.53	-0.53	-0.5	0.53	0.00	0	0.40	-0.40	0.00	0.00	0.00	0.00	0.81
5054	C003625	003	0	0.30	1	0.30	0.30	0.4	1	2	0.30	-0.30	0.30	0.30	0.30	-0.30	0.30	0.21	0.21	-0.30	0.30	-0.15	-0.1	0.15	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.95
5055	C003626	003	0	0.00	0	0.10	0.10	0.1	1	2	0.10	0.00	0.00	0.00	0.00	0.00	0.10	0.07	0.07	0.10	0.10	0.05	0	0.05	0.10	1	0.00	0.10	0.10	0.10	0.10	0.10	0.98
5056	C003627	003	0	0.00	0	0.00	0.00	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5057	C003628	003	0	2.20	4	2.20	2.20	2.3	4	4	0.70	-0.70	0.56	0.56	0.55	-0.55	0.56	0.56	0.56	-0.55	0.55	-0.55	-0.5	0.55	0.00	0	0.40	-0.40	0.00	0.00	0.00	0.00	0.56
5058	C003629	003	0	0.70	1	0.70	0.70	0.7	1	1	0.70	-0.70	0.70	0.70	0.70	-0.70	0.70	0.70	0.70	-0.70	0.70	-0.70	-0.7	0.70	0.00	0	0.70	-0.70	0.00	0.00	0.00	0.00	1.03
5059	C003630	003	0	0.10	1	0.10	0.10	0.1	1	1	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	-0.10	-0.1	0.10	0.00	0	0.10	-0.10	0.00	0.00	0.00	0.00	1.02
5060	C003631	003	0	0.30	1	0.40	0.40	0.4	2	2	0.30	-0.30	0.30	0.30	0.30	-0.30	0.22	0.22	0.22	-0.10	0.20	-0.10	-0.1	0.20	0.10	1	0.10	0.10	0.10	0.10	0.10	0.10	0.75
5061	C003632	003	0	0.40	1	1.00	1.00	1.1	2	4	0.60	-0.40	0.40	0.40	0.40	-0.40	0.51	0.36	0.36	0.10	0.50	0.05	0	0.25	0.60	1	0.00	0.60	0.60	0.60	0.60	0.60	0.80
5062	C003633	003	0	0.50	1	0.50	0.50	0.5	1	2	0.50	-0.50	0.50	0.50	0.50	-0.50	0.50	0.35	0.35	-0.50	0.50	-0.25	-0.2	0.25	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1.02
5063	C003634	003	0	0.20	1	0.20	0.20	0.2	1	1	0.20	-0.20	0.20	0.20	0.20	-0.20	0.20	0.20	0.20	-0.20	0.20	-0.20	-0.2	0.20	0.00	0	0.20	-0.20	0.00	0.00	0.00	0.00	1.03
5064	C003635	003	0	1.70	3	1.70	1.70	1.8	3	4	0.70	-0.70	0.57	0.57	0.57	-0.57	0.57	0.50	0.50	-0.57	0.57	-0.42	-0.4	0.42	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.82
5065	C003636	003	0	0.70	1	0.70	0.70	0.7	1	1	0.70	-0.70	0.70	0.70	0.70	-0.70	0.70	0.70	0.70	-0.70	0.70	-0.70	-0.7	0.70	0.00	0	0.70	-0.70	0.00	0.00	0.00	0.00	1.14
5066	C003637	003	0	1.80	3	2.40	2.40	2.6	4	4	0.70	-0.70	0.62	0.62	0.60	-0.60	0.61	0.61	0.61	-0.30	0.60	-0.30	-0.3	0.60	0.60	1	0.40	0.60	0.60	0.60	0.60	0.60	0.81
5067	C003638	003	0	0.50	1	0.50	0.50	0.5	1	1	0.50	-0.50	0.50	0.50	0.50	-0.50	0.50	0.50	0.50	-0.50	0.50	-0.50	-0.5	0.50	0.00	0	0.50	-0.50	0.00	0.00	0.00	0.00	1.03
5068	C003639	003	0	0.30	1	0.30	0.30	0.3	1	1	0.30	-0.30	0.30	0.30	0.30	-0.30	0.30	0.30	0.30	-0.30	0.30	-0.30	-0.3	0.30	0.00	0	0.30	-0.30	0.00	0.00	0.00	0.00	1.06
5069	C003640	003	0	0.30	1	0.80	0.80	0.8	2	2	0.50	-0.30	0.30	0.30	0.30	-0.30	0.41	0.41	0.41	0.10	0.40	0.10	0.1	0.40	0.50	1	0.30	0.50	0.50	0.50	0.50	0.50	0.84
5070	C003641	003	0	0.80	1	0.80	0.80	0.8	1	2	0.80	-0.80	0.80	0.80	0.80	-0.80	0.80	0.57	0.57	-0.80	0.80	-0.40	-0.4	0.40	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1.22
5071	C003642	003	0	1.90	3	1.90	1.90	2	3	3	0.80	-0.80	0.66	0.66	0.63	-0.63	0.66	0.66	0.66	-0.63	0.63	-0.63	-0.6	0.63	0.00	0	0.40	-0.40	0.00	0.00	0.00	0.00	0.91
5072	C003643	003	0	6.30	9	6.80	6.80	7.2	11	11	0.90	-0.90	0.72	0.72	0.70	-0.70	0.66	0.66	0.66	-0.53	0.62	-0.53	-0.5	0.62	0.50	2	0.20	0.30	0.25	0.25	0.25	0.25	0.72
5073	C003644	003	0	0.00	0	0.10	0.10	0.1	1	1	0.10	0.10	0.00	0.00	0.00	0.00	0.10	0.10	0.10	0.10	0.10	0.10	0.1	0.10	0.10	1	0.10	0.10	0.10	0.10	0.10	0.10	0.86
5074	C003645	003	0	1.30	2	1.80	1.80	2	3	4	0.80	-0.80	0.67	0.67	0.65	-0.65	0.62	0.53	0.53	-0.27	0.60	-0.20	-0.2	0.45	0.50	1	0.00	0.50	0.50	0.50	0.50	0.50	0.82
5075	C003646	003	0	0.30	1	0.30	0.30	0.3	1	1	0.30	-0.30	0.30	0.30	0.30	-0.30	0.30	0.30	0.30	-0.30	0.30	-0.30	-0.3	0.30	0.00	0	0.30	-0.30	0.00	0.00	0.00	0.00	0.95
5076	C003647	003	0	0.00	0	0.20	0.20	0.3	1	2	0.20	0.00	0.00	0.00	0.00	0.00	0.20	0.14	0.14	0.20	0.20	0.10	0.1	0.10	0.20	1	0.00	0.20	0.20	0.20	0.20	0.20	1.00
5077	C003648	003	0	0.30	1	0.60	0.60	0.6	2	2	0.30	-0.30	0.30	0.30	0.30	-0.30	0.30	0.30	0.30	0.00	0.30	0.00	0	0.30	0.30	1	0.30	0.30	0.30	0.30	0.30	0.30	0.77
5078	C003649	003	0	0.00	0	0.50	0.50	0.5	1	1	0.50	0.50	0.00	0.00	0.00	0.00	0.50	0.50	0.50	0.50	0.50	0.50	0.5	0.50	0.50	1	0.50	0.50	0.50	0.50	0.50	0.50	1.01
5079	C003650	003	0	0.70	1	0.70	0.70	0.7	1	1	0.70	-0.70	0.70	0.70	0.70	-0.70	0.70	0.70	0.70	-0.70	0.70	-0.70	-0.7	0.70	0.00	0	0.70	-0.70	0.00	0.00	0.00	0.00	1.22
5080	C003651	003	0	0.10	1	0.10	0.10	0.1	1	1	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	-0.10	-0.1	0.10	0.00	0	0.10	-0.10	0.00	0.00	0.00	0.00	1.11
5081	C003652	003	0	1.40	2	1.40	1.40	1.5	2	3	0.90	-0.90	0.73	0.73	0.70	-0.70	0.73	0.59	0.59	-0.70	0.70	-0.47	-0.5	0.47	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1.04
5082	C003653	003	0	0.80	1	0.80	0.80	0.8	1	1	0.80	-0.80	0.80	0.80	0.80	-0.80	0.80	0.80	0.80	-0.80	0.80	-0.80	-0.8	0.80	0.00	0	0.80	-0.80	0.00	0.00	0.00	0.00	1.30
5083	C003654	003	0	0.00	0	0.80	0.80	0.9	2	3	0.50	0.00	0.00	0.00	0.00	0.00	0.41	0.34	0.34	0.40	0.40	0.27	0.2	0.27	0.80	2	0.00	0.50	0.41	0.41	0.40	0.40	0.90
5084	C003655	003	0	0.00	0	0.00	0.00	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5085	C003656	003	0	1.30	3	1.30	1.30	1.4	3	3	0.60	-0.60	0.49	0.49	0.43	-0.43	0.49	0.49	0.49	-0.43	0.43	-0.43	-0.4	0.43	0.00	0	0.10	-0.10	0.00	0.00	0.00	0.00	0.49
5086	C003657	003	0	0.00	0	0.30	0.30	0.3	1	1	0.30	0.30	0.00	0.00	0.00	0.00	0.30	0.30	0.30	0.30	0.30	0.30	0.3	0.30	0.30	1	0.30	0.30	0.30	0.30	0.30	0.30	0.76
5087	C003658	003	0	0.00	0	0.00	0.00	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5088	C003659	003	0	0.00	0	0.30	0.30	0.3	1	1	0.30	0.30	0.00	0.00	0.00	0.00	0.30	0.30	0.30	0.30	0.30	0.30	0.3	0.30	0.30	1	0.30	0.30	0.30	0.30	0.30	0.30	0.30
5089	C003660	003	0	0.10	1	0.10	0.10	0.1	1	1	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	-0.10	-0.1	0.10	0.00	0	0.10	-0.10	0.00	0.00	0.00	0.00	0.56
5090	C003661	003	0	0.70	1	0.70	0.70	0.7	1	1	0.70	-0.70	0.70	0.70	0.70	-0.70	0.70	0.70	0.70	-0.70	0.70	-0.70	-0.7	0.70	0.00	0	0.70	-0.70	0.00	0.00	0.00	0.00	1.02
5091	C003662	003	0	0.10	1	0.10	0.10	0.1	1	1	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	-0.10	-0.1	0.10	0.00	0	0.10	-0.10	0.00	0.00	0.00	0.00	1.02
5092	C003663	003	0	0.10	1	0.10	0.10	0.1	1	1	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	-0.10	-0.1	0.10	0.00	0	0.10	-0.10	0.00	0.00	0.00	0.00	1.01
5093	C003664	003	0	0.60	1	1.10	1.10	1.2	3	4	0.60	-0.60	0.60	0.60	0.60	-0.60	0.42	0.36	0.36	-0.03	0.37	-0.02	0	0.28	0.50	2	0.00	0.40	0.29	0.29	0.25	0.25	0.72
5094	C003665	003	0	0.80	1	1.30	1.30	1.3	2	2	0.80	-0.80	0.80	0.80	0.80	-0.80	0.67	0.67	0.67	-0.15	0.65	-0.15	-0.1	0.65	0.50	1	0.50	0.50	0.50	0.50	0.50	0.50	0.90
5095	C003666	003	0	0.10	1	0.10	0.10	0.1	1	1	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	-0.10	-0.1	0.10	0.00	0	0.10	-0.10	0.00	0.00	0.00	0.00	0.95
5096	C003667	003	0	0.30	1	0.30	0.30	0.3	1	1	0.30	-0.30	0.30	0.30	0.30	-0.30	0.30	0.30	0.30	-0.30	0.30	-0.30	-0.3	0.30	0.00	0	0.30	-0.30	0.00	0.00	0.00	0.00	1.02
5097	C003668	003	0	0.00	0	0.10	0.10	0.1	1	1	0.10	0.10	0.00	0.00	0.00	0.00	0.10	0.10	0.10	0.10	0.10	0.10	0.1	0.10	0.10	1	0.10	0.10	0.10	0.10	0.10	0.10	1.02
5098	C003669	003	0	0.10	1	0.10	0.10	0.1	1	1	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	-0.10	-0.1	0.10	0.00	0	0.10	-0.10	0.00	0.00	0.00	0.00	1.01
5099	C003670	003	0	0.70	1	0.70	0.70	0.7	1	1	0.70	-0.70	0.70	0.70	0.70	-0.70	0.70	0.70	0.70	-0.70	0.70	-0.70	-0.7	0.70	0.00	0	0.70	-0.70	0.00	0.00	0.00	0.00	1.23
5100	C003671	003	0	0.30	1	0.30	0.30	0.3	1	2	0.30	-0.30	0.30	0.30	0.30	-0.30	0.30	0.21	0.21	-0.30	0.30	-0.15	-0.1	0.15	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1.15
5101	C003672	003	0	0.00	0	0.10	0.10	0.1	1	1	0.10	0.10	0.00	0.00	0.00	0.00	0.10	0.10	0.10	0.10	0.10	0.10	0.1	0.10	0.10	1	0.10	0.10	0.10	0.10	0.10	0.10	1.08
5102	C003673	003	0	0.40	2	0.40	0.40	0.4	2	2	0.30	-0.30	0.22	0.22	0.20	-0.20	0.22	0.22	0.22	-0.20	0.20	-0.20	-0.2	0.20	0.00	0	0.10	-0.10	0.00	0.00	0.00	0.00	0.77
5103	C003674	003	0	0.10	1	0.10	0.10	0.1	1	1	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	-0.10	-0.1	0.10	0.00	0	0.10	-0.10	0.00	0.00	0.00	0.00	0.88
5104	C003675	003	0	0.60	2	0.70	0.70	0.9	3	4	0.50	-0.50	0.36	0.36	0.30	-0.30	0.30	0.26	0.26	-0.17	0.23	-0.12	-0.1	0.17	0.10	1	0.00	0.10	0.10	0.10	0.10	0.10	0.62
5105	C003676	003	0	0.30	1	0.30	0.30	0.3	1	2	0.30	-0.30	0.30	0.30	0.30	-0.30	0.30	0.21	0.21	-0.30	0.30	-0.15	-0.1	0.15	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.84
5106	C003677	003	0	0.00	0	0.20	0.20	0.3	2	4	0.10	0.00	0.00	0.00	0.00	0.00	0.10	0.07	0.07	0.10	0.10	0.05	0	0.05	0.20	2	0.00	0.10	0.10	0.10	0.10	0.10	0.66
5107	C003678	003	0	0.10	1	0.10	0.10	0.1	1	1	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	-0.10	-0.1	0.10	0.00	0	0.10	-0.10	0.00	0.00	0.00	0.00	0.82
5108	C003679	003	0	0.70	1	0.70	0.70	0.7	1	1	0.70	-0.70	0.70	0.70	0.70	-0.70	0.70	0.70	0.70	-0.70	0.70	-0.70	-0.7	0.70	0.00	0	0.70	-0.70	0.00	0.00	0.00	0.00	1.14
5109	C003680	003	0	0.10	1	3.20	3.20	3.4	7	8	0.80	-0.10	0.10	0.10	0.10	-0.10	0.55	0.51	0.51	0.43	0.46	0.37	0.4	0.40	3.10	6	0.00	0.80	0.59	0.59	0.52	0.52	0.68
5110	C003681	003	0	0.00	0	0.10	0.10	0.2	1	2	0.10	0.00	0.00	0.00	0.00	0.00	0.10	0.07	0.07	0.10	0.10	0.05	0	0.05	0.10	1	0.00	0.10	0.10	0.10	0.10	0.10	0.83
5111	C003682	003	0	0.10	1	0.10	0.10	0.1	1	1	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	-0.10	-0.1	0.10	0.00	0	0.10	-0.10	0.00	0.00	0.00	0.00	0.92
5112	C003683	003	0	0.60	1	1.30	1.30	1.4	2	3	0.70	-0.60	0.60	0.60	0.60	-0.60	0.65	0.53	0.53	0.05	0.65	0.03	0	0.43	0.70	1	0.00	0.70	0.70	0.70	0.70	0.70	0.94
5113	C003684	003	0	0.40	1	0.50	0.50	0.7	2	5	0.40	-0.40	0.40	0.40	0.40	-0.40	0.29	0.18	0.18	-0.15	0.25	-0.06	0	0.10	0.10	1	0.00	0.10	0.10	0.10	0.10	0.10	0.75
5114	C003685	003	0	0.00	0	0.10	0.10	0.1	1	1	0.10	0.10	0.00	0.00	0.00	0.00	0.10	0.10	0.10	0.10	0.10	0.10	0.1	0.10	0.10	1	0.10	0.10	0.10	0.10	0.10	0.10	0.87
5115	C003686	003	0	0.10	1	0.10	0.10	0.1	1	1	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	-0.10	-0.1	0.10	0.00	0	0.10	-0.10	0.00	0.00	0.00	0.00	0.94
5116	C003687	003	0	0.00	0	0.20	0.20	0.2	1	2	0.20	0.00	0.00	0.00	0.00	0.00	0.20	0.14	0.14	0.20	0.20	0.10	0.1	0.10	0.20	1	0.00	0.20	0.20	0.20	0.20	0.20	0.99
5117	C003688	003	0	0.20	1	0.20	0.20	0.2	1	1	0.20	-0.20	0.20	0.20	0.20	-0.20	0.20	0.20	0.20	-0.20	0.20	-0.20	-0.2	0.20	0.00	0	0.20	-0.20	0.00	0.00	0.00	0.00	1.01
5118	C003689	003	0	0.10	1	0.10	0.10	0.1	1	1	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	-0.10	-0.1	0.10	0.00	0	0.10	-0.10	0.00	0.00	0.00	0.00	1.01
5119	C003690	003	0	0.90	1	0.90	0.90	0.9	1	1	0.90	-0.90	0.90	0.90	0.90	-0.90	0.90	0.90	0.90	-0.90	0.90	-0.90	-0.9	0.90	0.00	0	0.90	-0.90	0.00	0.00	0.00	0.00	1.35
5120	C003691	003	0	0.80	1	0.80	0.80	0.8	1	1	0.80	-0.80	0.80	0.80	0.80	-0.80	0.80	0.80	0.80	-0.80	0.80	-0.80	-0.8	0.80	0.00	0	0.80	-0.80	0.00	0.00	0.00	0.00	1.41
5121	C003692	003	0	0.80	1	0.80	0.80	0.8	1	1	0.80	-0.80	0.80	0.80	0.80	-0.80	0.80	0.80	0.80	-0.80	0.80	-0.80	-0.8	0.80	0.00	0	0.80	-0.80	0.00	0.00	0.00	0.00	1.43
5122	C003693	003	0	0.40	1	0.40	0.40	0.4	1	1	0.40	-0.40	0.40	0.40	0.40	-0.40	0.40	0.40	0.40	-0.40	0.40	-0.40	-0.4	0.40	0.00	0	0.40	-0.40	0.00	0.00	0.00	0.00	1.26
5123	C003694	003	0	0.00	0	0.20	0.20	0.3	1	2	0.20	0.00	0.00	0.00	0.00	0.00	0.20	0.14	0.14	0.20	0.20	0.10	0.1	0.10	0.20	1	0.00	0.20	0.20	0.20	0.20	0.20	1.14
5124	C003695	003	0	0.90	1	0.90	0.90	0.9	1	1	0.90	-0.90	0.90	0.90	0.90	-0.90	0.90	0.90	0.90	-0.90	0.90	-0.90	-0.9	0.90	0.00	0	0.90	-0.90	0.00	0.00	0.00	0.00	1.40
5125	C003696	003	0	0.10	1	0.20	0.20	0.3	2	2	0.10	-0.10	0.10	0.10	0.10	-0.10	0.10	0.10	0.10	0.00	0.10	0.00	0	0.10	0.10	1	0.10	0.10	0.10	0.10	0.10	0.10	0.84
5126	C003697	003	0	0.70	1	0.70	0.70	0.7	1	1	0.70	-0.70	0.70	0.70	0.70	-0.70	0.70	0.70	0.70	-0.70	0.70	-0.70	-0.7	0.70	0.00	0	0.70	-0.70	0.00	0.00	0.00	0.00	1.15
5127	C003698	003	0	0.00	0	0.00	0.00	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5128	C003699	003	0	0.10	1	0.60	0.60	0.6	2	2	0.50	-0.10	0.10	0.10	0.10	-0.10	0.36	0.36	0.36	0.20	0.30	0.20	0.1	0.30	0.50	1	0.10	0.50	0.50	0.50	0.50	0.50	0.36
5129	C003700	003	0	0.80	1	0.80	0.80	0.8	1	1	0.80	-0.80	0.80	0.80	0.80	-0.80	0.80	0.80	0.80	-0.80	0.80	-0.80	-0.8	0.80	0.00	0	0.80	-0.80	0.00	0.00	0.00	0.00	1.00
5130	C003701	003	0	0.00	0	0.10	0.10	0.1	1	1	0.10	0.10	0.00	0.00	0.00	0.00	0.10	0.10	0.10	0.10	0.10	0.10	0.1	0.10	0.10	1	0.10	0.10	0.10	0.10	0.10	0.10	1.01
5131	C003702	003	0	2.40	6	3.20	3.20	3.6	8	10	0.70	-0.70	0.45	0.45	0.40	-0.40	0.45	0.40	0.40	-0.20	0.40	-0.16	-0.1	0.32	0.80	2	0.00	0.60	0.45	0.45	0.40	0.40	0.58
5132	C003703	003	0	0.90	1	0.90	0.90	0.9	1	1	0.90	-0.90	0.90	0.90	0.90	-0.90	0.90	0.90	0.90	-0.90	0.90	-0.90	-0.9	0.90	0.00	0	0.90	-0.90	0.00	0.00	0.00	0.00	1.18
